Dataset,d (qubits),Kernel,Feature map,Depth,Entanglement,Centered?,Delta test acc,Delta offdiag p50,Delta offdiag p95,Delta eff rank,CI95 Delta test acc,CI95 Delta offdiag p50,CI95 Delta offdiag p95,CI95 Delta eff rank,Baseline test acc,Baseline offdiag p50,Baseline eff rank
ionosphere,8,multiscale,zz_qiskit,1,linear,False,-0.014084507042253613,0.15048278091169587,0.2107258503060731,-167.5963290943486,,,,,0.6431924882629109,0.0011748071060545626,338.1567975675436
ionosphere,10,multiscale,zz_qiskit,1,linear,False,0.009389671361502372,0.15181414102880936,0.20970582903235757,-164.09229911353,,,,,0.6384976525821596,0.00022051655440718086,346.27676456538626
ionosphere,12,multiscale,zz_qiskit,1,linear,False,0.023474178403755874,0.153378539852408,0.20674410464871792,-160.93854067175906,,,,,0.6384976525821596,3.850428079175215e-05,348.50583530215727
ionosphere,14,multiscale,zz_qiskit,1,linear,False,0.0046948356807512415,0.1543369753502687,0.20209517397558677,-157.84278191260952,,,,,0.6384976525821596,7.722935914750934e-06,349.11698912080857
ionosphere,16,multiscale,zz_qiskit,1,linear,False,0.0046948356807512415,0.1548350274372039,0.19915376079547412,-155.84791499032323,,,,,0.6384976525821596,1.365412882484687e-06,349.2224928354606
ionosphere,18,multiscale,zz_qiskit,1,linear,False,0.0,0.15572234671706572,0.1968203479401734,-154.36022155636633,,,,,0.6384976525821596,2.582751315462838e-07,349.4094063547298
ionosphere,20,multiscale,zz_qiskit,1,linear,False,0.009389671361502372,0.156019320012423,0.1952862269375328,-153.2372604293117,,,,,0.6384976525821596,4.8793286781034923e-08,349.51006231684295
parkinsons,4,local,zz_qiskit,1,linear,False,0.0,0.20552913754281305,0.22155332145276294,-56.32288272210486,,,,,0.7606837606837606,0.035631109214864544,98.77586355954202
parkinsons,6,local,zz_qiskit,1,linear,False,0.0,0.2373847915495881,0.3240670646451993,-123.29275333624574,,,,,0.7606837606837606,0.006444425549268887,179.89552317194804
parkinsons,8,local,zz_qiskit,1,linear,False,0.0,0.2439454161261231,0.34191198516875315,-128.94186132123951,,,,,0.7606837606837606,0.0011628732798957717,193.43283612988895
parkinsons,10,local,zz_qiskit,1,linear,False,0.0,0.24604880775989144,0.3364276267551318,-125.27796565004256,,,,,0.7606837606837606,0.00021673557096578856,194.8659054380707
parkinsons,12,local,zz_qiskit,1,linear,False,0.0,0.24676483794299603,0.3292452143737301,-122.16992943512643,,,,,0.7606837606837606,4.111507094269296e-05,194.98828593297944
parkinsons,14,local,zz_qiskit,1,linear,False,0.0,0.247354013213975,0.3215512479154006,-119.8257159631204,,,,,0.7606837606837606,7.128200652182908e-06,194.99897364440224
parkinsons,16,local,zz_qiskit,1,linear,False,0.0,0.2479391662327895,0.31710620522565,-118.28905971341997,,,,,0.7606837606837606,1.3992148122811159e-06,194.99991969469565
parkinsons,18,local,zz_qiskit,1,linear,False,0.0,0.24787311702782644,0.31058874566160527,-116.54933784642681,,,,,0.7606837606837606,2.5274301616447835e-07,194.99998554954388
parkinsons,20,local,zz_qiskit,1,linear,False,0.0,0.24788480621840567,0.3068925963808929,-115.45246565971773,,,,,0.7606837606837606,4.647264797279253e-08,194.99999942832378
parkinsons,4,multiscale,zz_qiskit,1,linear,False,0.0,0.12983228716707584,0.14644984188894397,-41.289551486795744,,,,,0.7606837606837606,0.035631109214864544,98.77586355954202
parkinsons,6,multiscale,zz_qiskit,1,linear,False,0.0,0.14696152138902854,0.19746586171525168,-79.75711019520237,,,,,0.7606837606837606,0.006444425549268887,179.89552317194804
parkinsons,8,multiscale,zz_qiskit,1,linear,False,0.0,0.1509261515019402,0.20847819074703716,-79.64496260003524,,,,,0.7606837606837606,0.0011628732798957717,193.43283612988895
parkinsons,10,multiscale,zz_qiskit,1,linear,False,-0.008547008547008517,0.15283013627845812,0.2073283812688085,-76.42530737963055,,,,,0.7606837606837606,0.00021673557096578856,194.8659054380707
parkinsons,12,multiscale,zz_qiskit,1,linear,False,0.0,0.15364284237509745,0.20366723032882889,-74.53732430607609,,,,,0.7606837606837606,4.111507094269296e-05,194.98828593297944
parkinsons,14,multiscale,zz_qiskit,1,linear,False,0.0,0.15497787142395686,0.20005275614637974,-73.38319286316968,,,,,0.7606837606837606,7.128200652182908e-06,194.99897364440224
parkinsons,16,multiscale,zz_qiskit,1,linear,False,0.0,0.15521977822422492,0.1974506382731331,-72.4977803331237,,,,,0.7606837606837606,1.3992148122811159e-06,194.99991969469565
parkinsons,18,multiscale,zz_qiskit,1,linear,False,0.0,0.156007868760908,0.19493641444287318,-71.95130684424586,,,,,0.7606837606837606,2.5274301616447835e-07,194.99998554954388
parkinsons,20,multiscale,zz_qiskit,1,linear,False,0.0,0.1559913081535986,0.19276005812444763,-71.38749287877808,,,,,0.7606837606837606,4.647264797279253e-08,194.99999942832378
star_classification,4,local,zz_qiskit,1,linear,False,0.0008333333333333526,0.20587736671173282,0.22778002489012264,-64.036521015754,,,,,0.7491666666666666,0.03496570569719514,145.0214110124177
star_classification,6,local,zz_qiskit,1,linear,False,0.0033333333333332993,0.23764385755776457,0.32876087316558905,-1006.7369084027703,,,,,0.7466666666666667,0.00643814957312452,1140.5769317423085
star_classification,8,local,zz_qiskit,1,linear,False,0.004166666666666763,0.24451250894004845,0.34538446780265203,-1694.5071741828003,,,,,0.7458333333333332,0.001189568004464323,1868.2819343589629
